167	F332	F332	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.445672	2015-05-21 19:27:16.445672
168	F333	F333	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.445672	2015-05-21 19:27:16.445672
169	F334	F334	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.461297	2015-05-21 19:27:16.461297
170	F335	F335	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.461297	2015-05-21 19:27:16.461297
171	F336	F336	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.461297	2015-05-21 19:27:16.461297
172	F401	F401	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.461297	2015-05-21 19:27:16.461297
173	Luentosali1	F175a	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.461297	2015-05-21 19:27:16.461297
174	Luentosali2	F175b	\N	Otakaari 3	60.18798	24.83032	2015-05-21 19:27:16.461297	2015-05-21 19:27:16.461297
175	Sähkö- ja tietoliikennetekniikka	\N	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.461297	2015-05-21 19:27:16.461297
176	E110	E110	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.461297	2015-05-21 19:27:16.461297
177	E111	E111	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.461297	2015-05-21 19:27:16.461297
178	E127	Kuunteluhuone	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.476922	2015-05-21 19:27:16.476922
179	E220	Strömberg	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.476922	2015-05-21 19:27:16.476922
180	B201b	B201b	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.476922	2015-05-21 19:27:16.476922
181	C215	C215	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.476922	2015-05-21 19:27:16.476922
182	C226	C226	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.476922	2015-05-21 19:27:16.476922
183	D302	D302	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.476922	2015-05-21 19:27:16.476922
184	F201	F201	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.476922	2015-05-21 19:27:16.476922
185	F401	F401	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.476922	2015-05-21 19:27:16.476922
186	F402	F402	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.476922	2015-05-21 19:27:16.476922
187	G116a	G116a	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.492547	2015-05-21 19:27:16.492547
188	G236	G236	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.492547	2015-05-21 19:27:16.492547
189	G336	G336	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.492547	2015-05-21 19:27:16.492547
190	H302	H302	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.492547	2015-05-21 19:27:16.492547
191	H402	H402	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.492547	2015-05-21 19:27:16.492547
192	I212DC	I212 Matalataajuuspuoli	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.492547	2015-05-21 19:27:16.492547
193	I212RF	I212 Radiotaajuuspuoli	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.492547	2015-05-21 19:27:16.492547
194	I256	I256	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.492547	2015-05-21 19:27:16.492547
195	I346	I346	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.492547	2015-05-21 19:27:16.492547
196	I407	I407	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.508173	2015-05-21 19:27:16.508173
197	K203	Iso kaiuton huone	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.508173	2015-05-21 19:27:16.508173
198	K204	Monikanavahuone	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.508173	2015-05-21 19:27:16.508173
199	K205	Pieni kaiuton huone	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.508173	2015-05-21 19:27:16.508173
200	L213	L213	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.508173	2015-05-21 19:27:16.508173
201	L304	L304	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.508173	2015-05-21 19:27:16.508173
202	L310	L310	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.508173	2015-05-21 19:27:16.508173
203	L311a	L311a	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.508173	2015-05-21 19:27:16.508173
204	L311b	L311b	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.508173	2015-05-21 19:27:16.508173
205	S1	A102	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.508173	2015-05-21 19:27:16.508173
206	S2	A101	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.523798	2015-05-21 19:27:16.523798
207	S3	A205	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.523798	2015-05-21 19:27:16.523798
208	S4	A202	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.523798	2015-05-21 19:27:16.523798
209	S5	L306	\N	Otakaari 5	60.188967	24.831226	2015-05-21 19:27:16.523798	2015-05-21 19:27:16.523798
210	Konetekniikka 4	\N	\N	Otakaari 4	60.188844	24.825754	2015-05-21 19:27:16.523798	2015-05-21 19:27:16.523798
211	VSauna	Virtauksen sauna	\N	Otakaari 4	60.188844	24.825754	2015-05-21 19:27:16.523798	2015-05-21 19:27:16.523798
212	172	172	\N	Otakaari 4	60.188844	24.825754	2015-05-21 19:27:16.523798	2015-05-21 19:27:16.523798
213	339	339	\N	Otakaari 4	60.188844	24.825754	2015-05-21 19:27:16.523798	2015-05-21 19:27:16.523798
214	354	354	\N	Otakaari 4	60.188844	24.825754	2015-05-21 19:27:16.523798	2015-05-21 19:27:16.523798
215	luentosali	118	\N	Otakaari 4	60.188844	24.825754	2015-05-21 19:27:16.539424	2015-05-21 19:27:16.539424
216	pikkupalaveri	226	\N	Otakaari 4	60.188844	24.825754	2015-05-21 19:27:16.539424	2015-05-21 19:27:16.539424
217	seminaari	117a	\N	Otakaari 4	60.188844	24.825754	2015-05-21 19:27:16.539424	2015-05-21 19:27:16.539424
218	Konetekniikka 2	\N	\N	Puumiehenkuja 3	60.18774	24.825218	2015-05-21 19:27:16.539424	2015-05-21 19:27:16.539424
219	211a	211a	\N	Puumiehenkuja 3	60.18774	24.825218	2015-05-21 19:27:16.539424	2015-05-21 19:27:16.539424
220	223	223	\N	Puumiehenkuja 3	60.18774	24.825218	2015-05-21 19:27:16.539424	2015-05-21 19:27:16.539424
221	Konetekniikka 1	\N	\N	Otakaari 4	60.18718	24.82683	2015-05-21 19:27:16.539424	2015-05-21 19:27:16.539424
222	101	101	\N	Otakaari 4	60.18718	24.82683	2015-05-21 19:27:16.539424	2015-05-21 19:27:16.539424
223	148	148	\N	Otakaari 4	60.18718	24.82683	2015-05-21 19:27:16.539424	2015-05-21 19:27:16.539424
224	149	149	\N	Otakaari 4	60.18718	24.82683	2015-05-21 19:27:16.539424	2015-05-21 19:27:16.539424
225	150	150	\N	Otakaari 4	60.18718	24.82683	2015-05-21 19:27:16.555049	2015-05-21 19:27:16.555049
226	201	201	\N	Otakaari 4	60.18718	24.82683	2015-05-21 19:27:16.555049	2015-05-21 19:27:16.555049
227	202	202	\N	Otakaari 4	60.18718	24.82683	2015-05-21 19:27:16.555049	2015-05-21 19:27:16.555049
228	215	215	\N	Otakaari 4	60.18718	24.82683	2015-05-21 19:27:16.555049	2015-05-21 19:27:16.555049
229	216	216	\N	Otakaari 4	60.18718	24.82683	2015-05-21 19:27:16.555049	2015-05-21 19:27:16.555049
230	323	323	\N	Otakaari 4	60.18718	24.82683	2015-05-21 19:27:16.555049	2015-05-21 19:27:16.555049
231	326	326	\N	Otakaari 4	60.18718	24.82683	2015-05-21 19:27:16.555049	2015-05-21 19:27:16.555049
232	342	342	\N	Otakaari 4	60.18718	24.82683	2015-05-21 19:27:16.555049	2015-05-21 19:27:16.555049
233	345	345	\N	Otakaari 4	60.18718	24.82683	2015-05-21 19:27:16.570674	2015-05-21 19:27:16.570674
234	348	348	\N	Otakaari 4	60.18718	24.82683	2015-05-21 19:27:16.570674	2015-05-21 19:27:16.570674
235	157b	157b	\N	Otakaari 4	60.18718	24.82683	2015-05-21 19:27:16.570674	2015-05-21 19:27:16.570674
236	203b	203b	\N	Otakaari 4	60.18718	24.82683	2015-05-21 19:27:16.570674	2015-05-21 19:27:16.570674
237	213a	213a	\N	Otakaari 4	60.18718	24.82683	2015-05-21 19:27:16.570674	2015-05-21 19:27:16.570674
238	237c	237c	\N	Otakaari 4	60.18718	24.82683	2015-05-21 19:27:16.570674	2015-05-21 19:27:16.570674
